分野,性別,年齢,居住地区,市民の声,ラベル
都市基盤の整備について,女性,20~29歳,松山地区,美原町の街灯が少ないので夜道が怖い,0
都市基盤の整備について,女性,20~29歳,高坂丘陵地区,高坂駅から出るバスの本数が少ない。(特に土日、祝、夜23:00頃までの時間) デマンドタクシー等の公共交通サービスを充実させてほしい。,0
都市基盤の整備について,男性,30~39歳,野本地区,私の住んでいる地域では、道路に歩道がなく、安心して子どもと歩くことができない道路があります。また、街灯が少なく、車を運転していると歩行者が見えにくいことがあります。こうした部分の整備を駅前などの主要地域以外の場所でも進めていただけると有難いと思います。,0
都市基盤の整備について,女性,30~39歳,高坂丘陵地区,小学生が夏休みに遊ぶことのできる施設が極端に少ないと感じます。暑い最中、外で遊ぶこともできず、ソーレやマーレにも入れないとなると、暑い日の遊び場が商業施設しかなくあまり毎日のようには連れて行けません。小学生でも使える安全で比較的利用料が安価な施設があると嬉しいです。,0
都市基盤の整備について,女性,40~49歳,野本地区,若松町一丁目交差点を改善してほしい。(歩行者分離、矢印信号など信号が変わっても右折の車が途切れないことがよくあって危ない),0
都市基盤の整備について,男性,50~59歳,野本地区,市内の渋滞する箇所を解消してほしい。特に南中学校の交差点!,0
都市基盤の整備について,男性,50~59歳,野本地区,新しく整備されたにも関わらず、危なく感じる交差点や道路があります。小学生の通学路なのに、車がけっこうなスピードで通り抜けるようになった箇所もあるので、見直しをしていただきたいです。また、駅前で食料品を買えるお店がないので、誘致できるといいと思います。,0
都市基盤の整備について,女性,50~59歳,唐子地区,今は自家用車で移動できますが、高齢になったらバスやデマンドタクシーを利用したいと考えていますが、今後高齢化に伴いバスの運行数を増やしたり利用券等の数を増やしてもらえたら、安心して東松山市で生活できると思います。それから、南中の右折帯ができて良かったです。,0
都市基盤の整備について,女性,50~59歳,野本地区,市内巡回バスのバス停を増やして欲しい。,0
都市基盤の整備について,女性,50~59歳,野本地区,近所に新しい戸建て住宅の建築工事がたくさんあり、これからも発展していく街なんだなと感じています。近所にスーパーや電気店、ホームセンター、レストラン等があり生活しやすいところで満足しています。バス停が近くにないので、もっとバス停が増えると良いなと思っています。,0
