年齢,男性,女性,合計
0,246,233,479
1,280,252,532
2,292,293,585
3,274,254,528
4,319,311,630
5,329,299,628
6,325,323,648
7,367,326,693
8,383,360,743
9,380,356,736
10,376,372,748
11,382,377,759
12,401,352,753
13,364,360,724
14,397,378,775
15,378,376,754
16,396,373,769
17,373,390,763
18,394,358,752
19,447,489,936
20,549,483,1032
21,551,497,1048
22,508,432,940
23,484,431,915
24,480,486,966
25,478,439,917
26,411,426,837
27,468,440,908
28,459,414,873
29,475,425,900
30,463,424,887
31,548,454,1002
32,472,439,911
33,501,458,959
34,517,443,960
35,532,415,947
36,520,426,946
37,550,477,1027
38,557,476,1033
39,555,521,1076
40,592,527,1119
41,595,491,1086
42,563,590,1153
43,576,564,1140
44,596,513,1109
45,581,535,1116
46,664,564,1228
47,611,594,1205
48,670,576,1246
49,678,598,1276
50,659,622,1281
51,737,683,1420
52,816,686,1502
53,723,622,1345
54,765,671,1436
55,701,621,1322
56,716,699,1415
57,647,612,1259
58,696,601,1297
59,467,478,945
60,563,560,1123
61,523,521,1044
62,544,555,1099
63,535,572,1107
64,556,541,1097
65,513,560,1073
66,562,589,1151
67,572,579,1151
68,556,601,1157
69,571,576,1147
70,585,609,1194
71,601,593,1194
72,649,661,1310
73,632,730,1362
74,656,714,1370
75,649,713,1362
76,724,761,1485
77,664,754,1418
78,698,752,1450
79,472,581,1053
80,345,423,768
81,393,498,891
82,416,561,977
83,391,471,862
84,362,495,857
85,308,426,734
86,274,350,624
87,218,268,486
88,182,276,458
89,133,260,393
90,148,257,405
91,113,195,308
92,82,179,261
93,53,135,188
94,42,114,156
95,28,86,114
96,19,62,81
97,12,57,69
98,9,44,53
99,5,31,36
100,0,14,14
101,0,15,15
102,2,2,4
103,2,3,5
104,0,0,0
105,0,0,0
